Case Name,Price,Size,Radiator Support,Fans Included,RGB
"Thermaltake Versa H18 Tempered Glass microATX Mini-Tower Computer Case - Black",50,M-ATX,280,1,N
Thermaltake Core V1 mini-ITX Mini-Tower Computer Case - Black,50,ITX,0,1,N
"Montech X1 Tempered Glass ATX Mid-Tower Computer Case - White",52,ATX,240,3,Y
Montech X3 Mesh Tempered Glass ATX Mid-Tower Computer Case - White,65,ATX,360,6,Y
Montech X3 Mesh Tempered Glass ATX Mid-Tower Computer Case - Black,65,ATX,360,6,Y
"Montech Air 100 ARGB Tempered Glass microATX Mini Tower Computer Case - Black",65,M-ATX,280,4,Y
"Lian Li Lancool 205M Mesh Tempered Glass microATX Mid-Tower Computer Case - Black",65,M-ATX,280,2,Y
Montech Air 100 ARGB Tempered Glass microATX Mini Tower Computer Case - White,70,M-ATX,280,4,Y
Lian Li Lancool 205M Mesh Tempered Glass microATX Mid-Tower Computer Case - White,70,M-ATX,280,2,Y
"NZXT H210i Tempered Glass Mini-ITX Mini-Tower Computer Case - White/Black",80,ITX,0,1,N
Thermaltake The Tower 100 Mini Tempered Glass Mini-ITX Mini Tower Computer Case - Black,90,ITX,0,1,N
"NZXT H5 Flow Tempered Glass ATX Mid-Tower Computer Case - Black",95,ATX,280,2,N
Lian Li Lancool 215 Tempered Glass ATX Mid-Tower Computer Case - Snow White,95,ATX,360,3,Y
"Lian Li Lancool II MESH Type C RGB Tempered Glass ATX Mid-Tower Computer Case - Black",110,eATX,360,3,Y
"Lian Li Lancool II MESH Performance Type C Tempered Glass ATX Mid-Tower Computer Case - Black",110,eATX,360,3,N
Deep Cool CK560 Tempered Glass ATX Mid-Tower Computer Case - White,110,eATX,360,3,Y
"Lian Li O11 Air Mini Tempered Glass ATX Mini Tower Computer Case - White",120,ATX,360,3,N
Lian Li O11 Air Mini Tempered Glass ATX Mini Tower Computer Case - Black,120,ATX,360,3,N
HYTE Revolt 3 Mini-ITX Mini Tower Computer Case - Black/White,130,ITX,280,0,N
"NZXT H7 Flow Tempered Glass Mid-Tower ATX Computer Case - White",137,eATX,360,2,N
Cooler Master Masterbox NR200P Tempered Glass Mini-ITX Mini Tower Computer Case,145,ITX,280,0,N
"SSUPD Meshlicious Mini-ITX Mini-Tower Computer Case with PCIe 4.0 Riser Card - Black",150,ITX,280,0,N
Corsair 5000D Airflow Tempered Glass Mid-Tower ATX Computer Case - White,160,ATX,360,2,N
Lian Li LANCOOL III RGB Tempered Glass ATX Mid-Tower Computer Case - Black,170,eATX,360,4,Y
HYTE Y60 Modern Aesthetic Dual Chamber Panoramic Tempered Glass Mid-Tower ATX Computer Gaming Case - White/Red/Black - PCIe 4.0 Riser Cable Included,200,eATX,360,0,N
"Lian Li O11 Dynamic EVO Tempered Glass ATX Mid-Tower Computer Case - White",210,eATX,360,0,Y
"Fractal Design Torrent Compact RGB Tempered Glass ATX Mid-Tower Computer Case - Black",210,eATX,0,2,Y
"Fractal Design Torrent Tempered Glass ATX Mid-Tower Computer Case - White",230,eATX,0,2,N