PSU Name,Price,Wattage,Modular,80+ Rating,SFX?
Thermaltake Smart Series 600 Watt 80 Plus ATX Non-Modular Power Supply,45,600,N,W,N
Thermaltake Smart Series 700 Watt 80 Plus ATX Non-Modular Power Supply,60,700,N,W,N
Thermaltake Toughpower GX2 600W 600 Watt 80 Plus Gold ATX Non-Modular Power Supply,65,600,N,G,N
"PowerSpec 650 Watt 80 Plus Bronze ATX Semi-Modular Power Supply",70,650,S,B,N
"EVGA 750 BQ 750 Watt 80 Plus Bronze Semi-Modular ATX Power Supply",85,750,S,B,N
"Thermaltake Toughpower Grand RGB 850 Watts 80 Plus Gold ATX Fully Modular Power Supply",120,850,Y,G,N
"Corsair RM850e 850 Watt 80 Plus Gold Fully Modular Low-Noise ATX Power Supply",140,850,Y,G,N
PowerSpec 1050 Watt 80 Plus Gold ATX Fully Modular Power Supply,170,1050,Y,G,N
"Thermaltake Toughpower GF3 1200 Watt 80 Plus Gold ATX Fully Modular Power Supply",230,1200,Y,G,N
MAINGEAR IGNITION 1200 Watt 80 Plus Platinum ATX Fully Modular Power Supply,250,1200,Y,P,N
"Corsair HXi Series HX1500i 1500 Watt 80 Plus Platinum Fully Modular Power Supply",400,1500,Y,P,N
Lian Li SP750 750 Watt 80 Plus Gold SFX Fully Modular Power Supply,130,750,Y,G,Y
"Lian Li SP850 850 Watt 80 Plus Gold SFX Fully Modular Power Supply - Black",150,850,Y,G,Y
SilverStone SX1000 1000 Watt 80 Plus Platinum SFX-L Fully Modular Power Supply,330,1000,Y,P,