Cooler Name,Price,TDP,RGB,AM5,Liquid,Liquid Size,Low Profile (Air)
"Thermaltake UX200 SE CPU Cooler",30,170,Y,Y,N,,N
Deep Cool AK400 Performance CPU Cooler - Black,30,220,N,Y,N,,N
Deep Cool AK400 Performance CPU Cooler - White,33,220,N,Y,N,,N
Deep Cool AK620 CPU Air Cooler - Black,60,260,N,Y,N,,N
Deep Cool AK620 CPU Air Cooler - White,70,260,N,Y,N,,N
Cooler Master MasterLiquid ML240L RGB V2 240mm Water Cooling Kit,100,200,Y,Y,Y,240,
"Deep Cool LS720 High-Performance Liquid CPU Cooler",130,270,Y,Y,Y,360,
"MSI MAG Coreliquid 280R 280mm Water Cooling Kit",125,240,Y,Y,Y,280,
Custom Loop Liquid Cooling,1000,500,Y,Y,Y,420,
"be quiet SHADOW ROCK TF2 Topflow CPU Cooler",70,160,,N,N,,Y